Old	New
A1BG	A1BG
A1BG-AS1	A1BG-AS1
NCRNA00181	A1BG-AS1
A1BGAS	A1BG-AS1
A1BG-AS	A1BG-AS1
FLJ23569	A1BG-AS1
A1CF	A1CF
ACF	A1CF
ASP	A1CF
ACF64	A1CF
ACF65	A1CF
APOBEC1CF	A1CF
A2M	A2M
FWP007	A2M
S863-7	A2M
CPAMD5	A2M
A2M-AS1	A2M-AS1
A2ML1	A2ML1
CPAMD9	A2ML1
FLJ25179	A2ML1
P170	A2ML1
A2ML1-AS1	A2ML1-AS1
A2ML1-AS2	A2ML1-AS2
A2MP1	A2MP1
A2MP	A2MP1
A3GALT2	A3GALT2
A3GALT2P	A3GALT2
IGBS3S	A3GALT2
IGB3S	A3GALT2
A4GALT	A4GALT
P1	A4GALT
A14GALT	A4GALT
GB3S	A4GALT
P(K)	A4GALT
A4GNT	A4GNT
ALPHA4GNT	A4GNT
AAAS	AAAS
AACS	AACS
FLJ12389	AACS
SUR-5	AACS
ACSF1	AACS
AACSP1	AACSP1
AACSL	AACSP1
AADAC	AADAC
DAC	AADAC
CES5A1	AADAC
AADACL2	AADACL2
MGC72001	AADACL2
AADACL2-AS1	AADACL2-AS1
AADACL3	AADACL3
OTTHUMG00000001887	AADACL3
AADACL4	AADACL4
OTTHUMG00000001889	AADACL4
AADACP1	AADACP1
AADAT	AADAT
KATII	AADAT
KAT2	AADAT
KYAT2	AADAT
AAGAB	AAGAB
FLJ11506	AAGAB
P34	AAGAB
AAK1	AAK1
KIAA1048	AAK1
DKFZP686K16132	AAK1
AAMDC	AAMDC
C11orf67	AAMDC
PTD015	AAMDC
FLJ21035	AAMDC
CK067	AAMDC
AAMP	AAMP
AANAT	AANAT
SNAT	AANAT
AAR2	AAR2
C20orf4	AAR2
BA234K24.2	AAR2
AARD	AARD
C8orf85	AARD
LOC441376	AARD
AARS	AARS
CMT2N	AARS
ALARS	AARS
AARS2	AARS2
AARSL	AARS2
KIAA1270	AARS2
BA444E17.1	AARS2
AARSD1	AARSD1
MGC2744	AARSD1
AARSP1	AARSP1
AASDH	AASDH
NRPS998	AASDH
LYS2	AASDH
ACSF4	AASDH
AASDHPPT	AASDHPPT
LYS5	AASDHPPT
CGI-80	AASDHPPT
AASD-PPT	AASDHPPT
ACPS	AASDHPPT
AASS	AASS
LORSDH	AASS
LKRSDH	AASS
AATBC	AATBC
AATF	AATF
DED	AATF
CHE-1	AATF
CHE1	AATF
BFR2	AATF
AATK	AATK
AATYK	AATK
KIAA0641	AATK
LMTK1	AATK
LMR1	AATK
AATYK1	AATK
PPP1R77	AATK
AAVS1	AAVS1
AAV	AAVS1
ABALON	ABALON
INXS	ABALON
ABAT	ABAT
GABAT	ABAT
ABCA1	ABCA1
ABC1	ABCA1
HDLDT1	ABCA1
TGD	ABCA1
ABCA2	ABCA2
ABC2	ABCA2
ABCA3	ABCA3
ABC3	ABCA3
ABC-C	ABCA3
EST111653	ABCA3
LBM180	ABCA3
ABCA4	ABCA4
STGD1	ABCA4
ABCR	ABCA4
RP19	ABCA4
STGD	ABCA4
FFM	ABCA4
ARMD2	ABCA4
CORD3	ABCA4
ABCA5	ABCA5
EST90625	ABCA5
ABCA6	ABCA6
EST155051	ABCA6
ABCA7	ABCA7
ABCX	ABCA7
ABCA8	ABCA8
KIAA0822	ABCA8
ABCA9	ABCA9
EST640918	ABCA9
ABCA9-AS1	ABCA9-AS1
ABCA10	ABCA10
EST698739	ABCA10
ABCA11P	ABCA11P
ABCA11	ABCA11P
EST1133530	ABCA11P
FLJ14297	ABCA11P
ABCA12	ABCA12
ICR2B	ABCA12
DKFZP434G232	ABCA12
LI2	ABCA12
ABCA13	ABCA13
FLJ33876	ABCA13
FLJ33951	ABCA13
ABCA17P	ABCA17P
ABCB1	ABCB1
PGY1	ABCB1
MDR1	ABCB1
CLCS	ABCB1
P-GP	ABCB1
CD243	ABCB1
